reactor_name,country,technology_family,reactor_type,capacity_mwe,start_decade,vendor,source_confidence,completed_on_time,actual_build_years
Pickering-8,Canada,Heavy Water Reactor,PHWR,516.0,1970,AECL,0.55,1,9.440109514031485
Changjiang-1,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,5.535934291581109
Changjiang-2,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,5.763175906913073
Changjiang-3,China,Light Water Reactor,PWR,1000.0,2020,CNNC,0.55,0,
Daya Bay-1,China,Light Water Reactor,PWR,944.0,1980,Framatome,0.55,1,6.48870636550308
Daya Bay-2,China,Light Water Reactor,PWR,944.0,1980,Framatome,0.55,1,6.078028747433265
Fangchenggang-1,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,5.423682409308693
Fangchenggang-2,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,5.774127310061601
Fangchenggang-3,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,6.461327857631759
Fangchenggang-4,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,6.250513347022587
Fuqing-1,China,Light Water Reactor,PWR,1000.0,2000,CNNC,0.55,1,6.0013689253935665
Fuqing-2,China,Light Water Reactor,PWR,1000.0,2000,CNNC,0.55,1,6.297056810403833
Fuqing-3,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,5.776865160848733
Fuqing-4,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,4.832306639288158
Fuqing-5,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,6.401095140314853
Fuqing-6,China,Light Water Reactor,PWR,1000.0,2010,CNNC,0.55,1,6.2559890485968515
Haiyang-1,China,Light Water Reactor,AP1000,1157.0,2000,Westinghouse,0.55,1,9.155373032169747
Haiyang-2,China,Light Water Reactor,AP1000,1157.0,2010,Westinghouse,0.55,1,8.88432580424367
Hongyanhe-1,China,Light Water Reactor,PWR,1061.0,2000,CGN,0.55,1,5.801505817932923
Hongyanhe-2,China,Light Water Reactor,PWR,1061.0,2000,CGN,0.55,1,6.12457221081451
Hongyanhe-3,China,Light Water Reactor,PWR,1061.0,2000,CGN,0.55,1,6.442162902121835
Hongyanhe-4,China,Light Water Reactor,PWR,1061.0,2000,CGN,0.55,1,7.112936344969199
Hongyanhe-5,China,Light Water Reactor,PWR,1061.0,2010,CGN,0.55,1,6.447638603696099
Hongyanhe-6,China,Light Water Reactor,PWR,1061.0,2010,CGN,0.55,1,7.096509240246407
Ling Ao-1,China,Light Water Reactor,PWR,990.0,1990,Framatome,0.55,1,5.034907597535934
Ling Ao-2,China,Light Water Reactor,PWR,990.0,1990,Framatome,0.55,1,5.1854893908282
Ningde-1,China,Light Water Reactor,PWR,1000.0,2000,CGN,0.55,1,5.155373032169747
Ningde-2,China,Light Water Reactor,PWR,1000.0,2000,CGN,0.55,1,5.47296372347707
Ningde-3,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,5.418206707734429
Ningde-4,China,Light Water Reactor,PWR,1000.0,2010,CGN,0.55,1,3.808350444900753
Qinshan-2-1,China,Light Water Reactor,PWR,650.0,1990,CNNC,0.55,1,5.867214236824093
Qinshan-3-1,China,Heavy Water Reactor,PHWR,677.0,1990,AECL,0.55,1,5.125256673511293
Qinshan-3-2,China,Heavy Water Reactor,PHWR,677.0,1990,AECL,0.55,1,5.765913757700205
Qinshan-1,China,Light Water Reactor,PWR,300.0,1980,CNNC,0.55,1,9.032169746748803
Sanmen-1,China,Light Water Reactor,AP1000,1157.0,2000,Westinghouse,0.55,1,9.423682409308693
Sanmen-2,China,Light Water Reactor,AP1000,1157.0,2000,Westinghouse,0.55,1,8.889801505817934
Sanmen-2b,China,Light Water Reactor,AP1000,1157.0,2010,Westinghouse,0.55,0,
Shidaowan-HTR,China,Gas-Cooled Reactor,HTGR,200.0,2010,CNNC,0.55,0,10.989733059548255
Taishan-1,China,Light Water Reactor,EPR,1660.0,2000,Framatome,0.55,1,9.125256673511293
Taishan-2,China,Light Water Reactor,EPR,1660.0,2010,Framatome,0.55,1,9.396303901437372
Tianwan-1,China,Light Water Reactor,VVER,1060.0,2000,Rosatom,0.55,1,6.570841889117043
Tianwan-2,China,Light Water Reactor,VVER,1060.0,2000,Rosatom,0.55,1,6.8199863107460645
Tianwan-3,China,Light Water Reactor,VVER,1060.0,2010,Rosatom,0.55,1,5.136208076659822
Tianwan-4,China,Light Water Reactor,VVER,1060.0,2010,Rosatom,0.55,1,5.234770704996578
Tianwan-5,China,Light Water Reactor,VVER,1060.0,2010,Rosatom,0.55,1,4.700889801505818
Tianwan-6,China,Light Water Reactor,VVER,1060.0,2010,Rosatom,0.55,1,4.695414099931554
Tianwan-7,China,Light Water Reactor,VVER,1200.0,2020,Rosatom,0.55,0,
Xudabao-1,China,Light Water Reactor,VVER,1060.0,2000,Rosatom,0.55,0,14.119096509240247
Xudabao-2,China,Light Water Reactor,VVER,1060.0,2000,Rosatom,0.55,0,14.932238193018481
Xudabao-3,China,Light Water Reactor,VVER,1200.0,2020,Rosatom,0.55,0,
Yangjiang-1,China,Light Water Reactor,PWR,1086.0,2000,CGN,0.55,1,5.270362765229295
Yangjiang-2,China,Light Water Reactor,PWR,1086.0,2000,CGN,0.55,1,6.0862422997946615
Yangjiang-3,China,Light Water Reactor,PWR,1086.0,2010,CGN,0.55,1,5.127994524298426
Yangjiang-4,China,Light Water Reactor,PWR,1086.0,2010,CGN,0.55,1,4.323066392881588
Yangjiang-5,China,Light Water Reactor,PWR,1086.0,2010,CGN,0.55,1,4.837782340862423
Yangjiang-6,China,Light Water Reactor,PWR,1086.0,2010,CGN,0.55,1,5.601642710472279
Zhangzhou-1,China,Light Water Reactor,PWR,1126.0,2010,CNNC,0.55,0,
Zhangzhou-2,China,Light Water Reactor,PWR,1126.0,2020,CNNC,0.55,0,
Dukovany-1,Czech Republic,Light Water Reactor,VVER,440.0,1970,Rosatom,0.55,0,11.3347022587269
Dukovany-2,Czech Republic,Light Water Reactor,VVER,440.0,1970,Rosatom,0.55,1,9.034907597535934
Dukovany-3,Czech Republic,Light Water Reactor,VVER,440.0,1970,Rosatom,0.55,1,7.838466803559206
Dukovany-4,Czech Republic,Light Water Reactor,VVER,440.0,1980,Rosatom,0.55,1,6.713210130047912
Temelin-1,Czech Republic,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,0,15.107460643394935
Temelin-2,Czech Republic,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,0,15.460643394934976
Loviisa-1,Finland,Light Water Reactor,VVER,496.0,1970,IVO/Rosatom,0.55,1,6.023271731690623
Loviisa-2,Finland,Light Water Reactor,VVER,496.0,1970,IVO/Rosatom,0.55,1,8.429842573579739
Olkiluoto-1,Finland,Light Water Reactor,BWR,880.0,1970,ABB Atom,0.55,1,3.6659822039698837
Olkiluoto-2,Finland,Light Water Reactor,BWR,890.0,1970,ABB Atom,0.55,1,6.6885694729637235
Olkiluoto-3,Finland,Light Water Reactor,EPR,1600.0,2000,Framatome,0.55,0,17.675564681724847
Belleville-1,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,8.098562628336756
Belleville-2,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,7.915126625598905
Blayais-1,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,4.944558521560575
Blayais-2,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.503080082135524
Blayais-3,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.453798767967146
Blayais-4,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,4.788501026694045
Bugey-2,France,Light Water Reactor,PWR,880.0,1970,Framatome,0.55,1,7.353867214236824
Bugey-3,France,Light Water Reactor,PWR,880.0,1970,Framatome,0.55,1,6.494182067077344
Bugey-4,France,Light Water Reactor,PWR,880.0,1970,Framatome,0.55,1,5.108829568788501
Bugey-5,France,Light Water Reactor,PWR,880.0,1970,Framatome,0.55,1,5.508555783709788
Cattenom-1,France,Light Water Reactor,PWR,1300.0,1970,Framatome,0.55,1,7.41409993155373
Cattenom-2,France,Light Water Reactor,PWR,1300.0,1980,Framatome,0.55,1,7.753593429158111
Cattenom-3,France,Light Water Reactor,PWR,1300.0,1980,Framatome,0.55,1,9.508555783709788
Cattenom-4,France,Light Water Reactor,PWR,1300.0,1980,Framatome,0.55,1,8.657084188911705
Chinon-B1,France,Light Water Reactor,PWR,905.0,1970,Framatome,0.55,1,7.082819986310746
Chinon-B2,France,Light Water Reactor,PWR,905.0,1970,Framatome,0.55,1,7.4195756331279945
Chinon-B3,France,Light Water Reactor,PWR,905.0,1980,Framatome,0.55,1,7.006160164271047
Chinon-B4,France,Light Water Reactor,PWR,905.0,1980,Framatome,0.55,1,7.162217659137577
Chooz-B1,France,Light Water Reactor,PWR,1500.0,1980,Framatome,0.55,0,16.205338809034906
Chooz-B2,France,Light Water Reactor,PWR,1500.0,1980,Framatome,0.55,0,14.82819986310746
Civaux-1,France,Light Water Reactor,PWR,1495.0,1980,Framatome,0.55,0,13.27583846680356
Civaux-2,France,Light Water Reactor,PWR,1495.0,1990,Framatome,0.55,0,11.06091718001369
Cruas-1,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.670088980150582
Cruas-2,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.4428473648186175
Cruas-4,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.02943189596167
Dampierre-1,France,Light Water Reactor,PWR,890.0,1970,Framatome,0.55,1,5.642710472279261
Dampierre-2,France,Light Water Reactor,PWR,890.0,1970,Framatome,0.55,1,5.530458590006845
Dampierre-3,France,Light Water Reactor,PWR,890.0,1970,Framatome,0.55,1,5.653661875427789
Dampierre-4,France,Light Water Reactor,PWR,890.0,1970,Framatome,0.55,1,5.880903490759754
Fessenheim-1,France,Light Water Reactor,PWR,880.0,1970,Framatome,0.55,1,6.581793292265571
Flamanville-1,France,Light Water Reactor,PWR,1330.0,1970,Framatome,0.55,1,7.008898015058179
Flamanville-2,France,Light Water Reactor,PWR,1330.0,1980,Framatome,0.55,1,5.508555783709788
Flamanville-3,France,Light Water Reactor,EPR,1630.0,2000,Framatome,0.55,0,17.08145106091718
Golfech-1,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,8.353182751540041
Golfech-2,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,9.878165639972622
Gravelines-1,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.815195071868583
Gravelines-2,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.368925393566051
Gravelines-3,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.530458590006845
Gravelines-4,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.541409993155373
Gravelines-5,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.661875427789186
Gravelines-6,France,Light Water Reactor,PWR,910.0,1970,Framatome,0.55,1,5.984941820670773
Nogent-1,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,6.809034907597536
Nogent-2,France,Light Water Reactor,PWR,1310.0,1980,Framatome,0.55,1,7.364818617385352
Paluel-1,France,Light Water Reactor,PWR,1330.0,1970,Framatome,0.55,1,8.295687885010267
Paluel-2,France,Light Water Reactor,PWR,1330.0,1970,Framatome,0.55,1,8.0
Paluel-3,France,Light Water Reactor,PWR,1330.0,1970,Framatome,0.55,1,7.000684462696783
Paluel-4,France,Light Water Reactor,PWR,1330.0,1980,Framatome,0.55,1,6.329911019849418
Penly-1,France,Light Water Reactor,PWR,1330.0,1980,Framatome,0.55,1,8.268309377138946
Penly-2,France,Light Water Reactor,PWR,1330.0,1980,Framatome,0.55,1,8.854209445585216
Saint-Alban-1,France,Light Water Reactor,PWR,1335.0,1970,Framatome,0.55,1,6.496919917864476
Saint-Alban-2,France,Light Water Reactor,PWR,1335.0,1980,Framatome,0.55,1,6.997946611909651
Saint-Laurent-B1,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,7.2498288843258045
Saint-Laurent-B2,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,6.663928815879535
Tricastin-1,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,6.083504449007529
Tricastin-2,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.363449691991787
Tricastin-3,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.618069815195072
Tricastin-4,France,Light Water Reactor,PWR,915.0,1970,Framatome,0.55,1,5.691991786447638
Emsland,Germany,Light Water Reactor,PWR,1329.0,1980,KWU,0.55,1,5.856262833675565
Isar-2,Germany,Light Water Reactor,PWR,1365.0,1980,KWU,0.55,1,5.566050650239562
Paks-1,Hungary,Light Water Reactor,VVER,471.0,1970,Rosatom,0.55,1,8.999315537303216
Paks-2,Hungary,Light Water Reactor,VVER,471.0,1970,Rosatom,0.55,0,10.288843258042437
Paks-3,Hungary,Light Water Reactor,VVER,471.0,1970,Rosatom,0.55,1,7.0746064339493495
Paks-4,Hungary,Light Water Reactor,VVER,471.0,1980,Rosatom,0.55,1,5.292265571526352
Kaiga-1,India,Heavy Water Reactor,PHWR,202.0,1980,NPCIL,0.55,0,11.208761122518823
Kaiga-2,India,Heavy Water Reactor,PHWR,202.0,1980,NPCIL,0.55,0,10.288843258042437
Kaiga-3,India,Heavy Water Reactor,PHWR,202.0,2000,NPCIL,0.55,1,4.974674880219028
Kaiga-4,India,Heavy Water Reactor,PHWR,202.0,2000,NPCIL,0.55,1,8.851471594798083
Kakrapar-1,India,Heavy Water Reactor,PHWR,202.0,1980,DAE,0.55,1,8.427104722792608
Kakrapar-2,India,Heavy Water Reactor,PHWR,202.0,1980,DAE,0.55,0,10.74880219028063
Kakrapar-3,India,Heavy Water Reactor,PHWR,640.0,2010,DAE,0.55,0,12.522929500342231
Kakrapar-4,India,Heavy Water Reactor,PHWR,640.0,2010,DAE,0.55,0,
PFBR,India,Fast Reactor,SFR,500.0,2000,BHAVINI,0.55,0,
Kudankulam-1,India,Light Water Reactor,VVER,917.0,2000,Rosatom,0.55,0,11.75359342915811
Kudankulam-2,India,Light Water Reactor,VVER,917.0,2000,Rosatom,0.55,0,14.740588637919233
Madras-1,India,Heavy Water Reactor,PHWR,170.0,1970,DAE,0.55,0,13.987679671457906
Madras-2,India,Heavy Water Reactor,PHWR,170.0,1970,DAE,0.55,0,13.467488021902806
Narora-1,India,Heavy Water Reactor,PHWR,202.0,1970,NPCIL,0.55,0,15.162217659137577
Narora-2,India,Heavy Water Reactor,PHWR,202.0,1970,NPCIL,0.55,0,16.49828884325804
Rajasthan-1,India,Heavy Water Reactor,PHWR,90.0,1960,AECL,0.55,1,8.375085557837098
Rajasthan-3,India,Heavy Water Reactor,PHWR,202.0,1990,NPCIL,0.55,0,10.329911019849419
Rajasthan-4,India,Heavy Water Reactor,PHWR,202.0,1990,NPCIL,0.55,0,10.22861054072553
Rajasthan-5,India,Heavy Water Reactor,PHWR,202.0,2000,NPCIL,0.55,1,7.427789185489391
Rajasthan-6,India,Heavy Water Reactor,PHWR,202.0,2000,NPCIL,0.55,1,8.082135523613964
Rajasthan-7,India,Heavy Water Reactor,PHWR,640.0,2010,NPCIL,0.55,0,
Rajasthan-8,India,Heavy Water Reactor,PHWR,640.0,2010,NPCIL,0.55,0,
Tarapur-1,India,Light Water Reactor,BWR,150.0,1960,GE,0.55,1,5.073237508555784
Tarapur-2,India,Light Water Reactor,BWR,150.0,1960,GE,0.55,1,5.040383299110198
Tarapur-3,India,Heavy Water Reactor,PHWR,490.0,2000,DAE,0.55,1,6.403832991101985
Tarapur-4,India,Heavy Water Reactor,PHWR,490.0,2000,DAE,0.55,1,5.47296372347707
Fukushima-I-1,Japan,Light Water Reactor,BWR,439.0,1960,GE,0.55,1,3.4989733059548254
Genkai-3,Japan,Light Water Reactor,PWR,1127.0,1980,Mitsubishi,0.55,1,9.626283367556468
Genkai-4,Japan,Light Water Reactor,PWR,1127.0,1980,Mitsubishi,0.55,1,8.980150581793293
Ikata-3,Japan,Light Water Reactor,PWR,846.0,1980,Mitsubishi,0.55,1,9.245722108145106
Mihama-3,Japan,Light Water Reactor,PWR,826.0,1970,Westinghouse,0.55,1,4.0
Onagawa-2,Japan,Light Water Reactor,BWR,796.0,1980,Toshiba,0.55,1,5.982203969883641
Sendai-1,Japan,Light Water Reactor,PWR,846.0,1970,Mitsubishi,0.55,1,4.739219712525667
Sendai-2,Japan,Light Water Reactor,PWR,846.0,1980,Mitsubishi,0.55,1,4.82135523613963
Takahama-1,Japan,Light Water Reactor,PWR,826.0,1970,Westinghouse,0.55,1,2.869267624914442
Takahama-2,Japan,Light Water Reactor,PWR,826.0,1970,Westinghouse,0.55,1,2.2012320328542097
Takahama-3,Japan,Light Water Reactor,PWR,870.0,1980,Westinghouse,0.55,1,4.043805612594114
Takahama-4,Japan,Light Water Reactor,PWR,870.0,1980,Westinghouse,0.55,1,3.592060232717317
Laguna Verde-1,Mexico,Light Water Reactor,BWR,680.0,1970,GE,0.55,0,13.82340862422998
Laguna Verde-2,Mexico,Light Water Reactor,BWR,674.0,1970,GE,0.55,0,17.856262833675565
Borssele-1,Netherlands,Light Water Reactor,PWR,515.0,1960,KWU,0.55,1,4.3203285420944555
Chashma-1,Pakistan,Light Water Reactor,PWR,300.0,1990,CNNC,0.55,1,7.085557837097878
Chashma-2,Pakistan,Light Water Reactor,PWR,300.0,1990,CNNC,0.55,0,15.044490075290897
Chashma-3,Pakistan,Light Water Reactor,PWR,300.0,2010,CNNC,0.55,1,5.587953456536619
Chashma-4,Pakistan,Light Water Reactor,PWR,300.0,2010,CNNC,0.55,1,5.757700205338809
Karachi-2,Pakistan,Light Water Reactor,PWR,1100.0,2010,CNNC,0.55,1,5.752224503764545
Karachi-3,Pakistan,Light Water Reactor,PWR,1100.0,2010,CNNC,0.55,1,5.971252566735113
Cernavoda-1,Romania,Heavy Water Reactor,PHWR,650.0,1980,AECL,0.55,0,14.42299794661191
Cernavoda-2,Romania,Heavy Water Reactor,PHWR,650.0,1980,AECL,0.55,0,24.35318275154004
Akademik-1,Russia,Light Water Reactor,PWR,35.0,2000,Rosatom,0.55,0,11.118412046543463
Balakovo-1,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,1,5.412731006160164
Balakovo-2,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,1,6.464065708418891
Balakovo-3,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,1,6.433949349760438
Balakovo-4,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,0,10.056125941136209
Beloyarsk-3,Russia,Fast Reactor,SFR,560.0,1980,OKBM,0.55,1,0.999315537303217
Beloyarsk-4,Russia,Fast Reactor,SFR,789.0,2000,OKBM,0.55,0,10.288843258042437
Kalinin-1,Russia,Light Water Reactor,VVER,1000.0,1970,Rosatom,0.55,1,8.265571526351813
Kalinin-2,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,1,5.08145106091718
Kalinin-3,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,0,20.210814510609172
Kalinin-4,Russia,Light Water Reactor,VVER,1000.0,1980,Rosatom,0.55,0,26.028747433264886
Kola-1,Russia,Light Water Reactor,VVER,440.0,1970,Rosatom,0.55,1,3.6440793976728267
Kola-2,Russia,Light Water Reactor,VVER,440.0,1970,Rosatom,0.55,1,4.774811772758385
Kola-3,Russia,Light Water Reactor,VVER,411.0,1970,Rosatom,0.55,1,4.919917864476386
Kola-4,Russia,Light Water Reactor,VVER,411.0,1970,Rosatom,0.55,1,8.112251882272416
Kursk-5,Russia,Light Water Reactor,VVER,1255.0,2020,Rosatom,0.55,0,
Kursk-5b,Russia,Light Water Reactor,VVER,1255.0,2020,Rosatom,0.55,0,
Kursk-3,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,6.0013689253935665
Kursk-4,Russia,Other/Unclassified,RBMK,925.0,1980,Rosatom,0.55,1,2.858316221765914
Leningrad-1,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,4.670773442847365
Leningrad-2,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,5.6974674880219025
Leningrad-3,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,6.929500342231348
Leningrad-4,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,6.524298425735798
Leningrad-5,Russia,Light Water Reactor,VVER,1114.0,2000,Rosatom,0.55,1,9.95482546201232
Leningrad-6,Russia,Light Water Reactor,VVER,1114.0,2010,Rosatom,0.55,0,11.501711156741958
Novovoronezh-3,Russia,Light Water Reactor,VVER,385.0,1960,Rosatom,0.55,1,4.501026694045175
Novovoronezh-4,Russia,Light Water Reactor,VVER,385.0,1960,Rosatom,0.55,1,5.494866529774128
Novovoronezh-5,Russia,Light Water Reactor,VVER,1000.0,1970,Rosatom,0.55,1,7.085557837097878
Novovoronezh-6,Russia,Light Water Reactor,VVER,1114.0,2000,Rosatom,0.55,1,8.555783709787816
Novovoronezh-7,Russia,Light Water Reactor,VVER,1114.0,2000,Rosatom,0.55,0,10.543463381245722
Rostov-1,Russia,Light Water Reactor,VVER,1011.0,1990,Rosatom,0.55,0,11.315537303216974
Rostov-1b,Russia,Light Water Reactor,VVER,1011.0,1980,Rosatom,0.55,0,21.31416837782341
Rostov-2,Russia,Light Water Reactor,VVER,1011.0,1990,Rosatom,0.55,0,20.295687885010267
Rostov-3,Russia,Light Water Reactor,VVER,1011.0,2000,Rosatom,0.55,1,6.0041067761806985
Rostov-4,Russia,Light Water Reactor,VVER,1011.0,2000,Rosatom,0.55,1,8.454483230663929
Smolensk-1,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,8.106776180698152
Smolensk-2,Russia,Other/Unclassified,RBMK,925.0,1970,Rosatom,0.55,1,9.163586584531142
Smolensk-3,Russia,Other/Unclassified,RBMK,925.0,1980,Rosatom,0.55,1,7.044490075290897
Bohunice-3,Slovakia,Light Water Reactor,VVER,408.0,1970,Rosatom,0.55,1,8.205338809034908
Mochovce-1,Slovakia,Light Water Reactor,VVER,411.0,1980,Rosatom,0.55,0,16.076659822039698
Mochovce-2,Slovakia,Light Water Reactor,VVER,411.0,1980,Rosatom,0.55,0,15.293634496919918
Mochovce-3,Slovakia,Light Water Reactor,VVER,471.0,1980,Rosatom,0.55,0,36.082135523613964
Mochovce-4,Slovakia,Light Water Reactor,VVER,471.0,1980,Rosatom,0.55,0,
Hanbit-1,South Korea,Light Water Reactor,PWR,950.0,1980,Westinghouse,0.55,1,5.232032854209446
Hanbit-2,South Korea,Light Water Reactor,PWR,950.0,1980,Westinghouse,0.55,1,5.522245037645448
Hanbit-3,South Korea,Light Water Reactor,PWR,995.0,1980,KHNP,0.55,1,5.021218343600274
Hanbit-4,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,5.6125941136208075
Hanbit-5,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,3.893223819301848
Hanbit-6,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,5.092402464065708
Hanul-1,South Korea,Light Water Reactor,PWR,950.0,1980,Westinghouse,0.55,1,5.916495550992471
Hanul-2,South Korea,Light Water Reactor,PWR,950.0,1980,Westinghouse,0.55,1,5.752224503764545
Hanul-3,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,5.401779603011636
Hanul-4,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,6.16290212183436
Hanul-5,South Korea,Light Water Reactor,PWR,995.0,1990,KHNP,0.55,1,4.139630390143737
Hanul-6,South Korea,Light Water Reactor,PWR,995.0,2000,KHNP,0.55,1,4.6242299794661195
Koeberg-1,South Africa,Light Water Reactor,PWR,900.0,1970,Framatome,0.55,1,8.054757015742641
Koeberg-2,South Africa,Light Water Reactor,PWR,900.0,1970,Framatome,0.55,1,9.357973990417522
Kori-1,South Korea,Light Water Reactor,PWR,587.0,1970,Westinghouse,0.55,1,6.52703627652293
