project_id,reactor_name,country,status,status_group,technology_family,reactor_type,capacity_mwe,construction_start_year,expected_operation_year,delay_years_if_known,project_stage,project_maturity_score,delay_risk_score,realization_probability,source_name
PIPE-CHI-ZHANGZHOU-UNIT-2,Zhangzhou-2,China,Under Construction,Construction,Light Water Reactor,PWR,1126.0,2020.0,2030,0.0,Construction,84.4,15.6,0.84,IAEA-PRIS/WNA-sample
PIPE-EGY-EL-DABAA-UNIT-1,El Dabaa-1,Egypt,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2022.0,2030,0.0,Construction,71.5,28.5,0.72,IAEA-PRIS/WNA-sample
PIPE-EGY-EL-DABAA-UNIT-2,El Dabaa-2,Egypt,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2022.0,2030,0.0,Construction,71.5,28.5,0.72,IAEA-PRIS/WNA-sample
PIPE-EGY-EL-DABAA-UNIT-3,El Dabaa-3,Egypt,Planned,Planned,Light Water Reactor,VVER,1114.0,,2035,,Planned,58.0,42.0,0.58,IAEA-PRIS/WNA-sample
PIPE-FIN-OLKILUOTO-UNIT-1R,Olkiluoto-1r,Finland,Planned,Planned,Light Water Reactor,BWR,890.0,,2035,,Planned,72.2,27.8,0.72,IAEA-PRIS/WNA-sample
PIPE-HUN-PAKS-II-UNIT-1,Paks-II-1,Hungary,Planned,Planned,Light Water Reactor,VVER,1114.0,,2035,,Planned,69.2,30.8,0.69,IAEA-PRIS/WNA-sample
PIPE-HUN-PAKS-II-UNIT-2,Paks-II-2,Hungary,Planned,Planned,Light Water Reactor,VVER,1114.0,,2035,,Planned,69.2,30.8,0.69,IAEA-PRIS/WNA-sample
PIPE-IND-KAKRAPAR-UNIT-4,Kakrapar-4,India,Under Construction,Construction,Heavy Water Reactor,PHWR,640.0,2010.0,2030,9.0,Construction,80.8,19.2,0.81,IAEA-PRIS/WNA-sample
PIPE-IND-KALPAKKAM-PFBR,PFBR,India,Under Construction,Construction,Fast Reactor,SFR,500.0,2004.0,2030,15.0,Construction,68.1,31.9,0.68,IAEA-PRIS/WNA-sample
PIPE-IND-KUDANKULAM-UNIT-3,Kudankulam-3,India,Under Construction,Construction,Light Water Reactor,VVER,917.0,,2030,,Construction,80.8,19.2,0.81,IAEA-PRIS/WNA-sample
PIPE-IND-KUDANKULAM-UNIT-4,Kudankulam-4,India,Under Construction,Construction,Light Water Reactor,VVER,917.0,,2030,,Construction,80.8,19.2,0.81,IAEA-PRIS/WNA-sample
PIPE-IND-RAWATBHATA-UNIT-7,Rajasthan-7,India,Under Construction,Construction,Heavy Water Reactor,PHWR,640.0,2011.0,2030,8.0,Construction,80.8,19.2,0.81,IAEA-PRIS/WNA-sample
PIPE-IND-RAWATBHATA-UNIT-8,Rajasthan-8,India,Under Construction,Construction,Heavy Water Reactor,PHWR,640.0,2011.0,2030,8.0,Construction,80.8,19.2,0.81,IAEA-PRIS/WNA-sample
PIPE-POL-LUBIATOWO-KOPALINO-UNIT-1,Lubiatowo-1,Poland,Planned,Planned,Light Water Reactor,AP1000,1117.0,,2035,,Planned,57.7,42.3,0.58,IAEA-PRIS/WNA-sample
PIPE-POL-LUBIATOWO-KOPALINO-UNIT-2,Lubiatowo-2,Poland,Planned,Planned,Light Water Reactor,AP1000,1117.0,,2035,,Planned,57.7,42.3,0.58,IAEA-PRIS/WNA-sample
PIPE-ROM-CERNAVODA-UNIT-3,Cernavoda-3,Romania,Planned,Planned,Heavy Water Reactor,PHWR,650.0,,2035,,Planned,66.6,33.4,0.67,IAEA-PRIS/WNA-sample
PIPE-ROM-CERNAVODA-UNIT-4,Cernavoda-4,Romania,Planned,Planned,Heavy Water Reactor,PHWR,650.0,,2035,,Planned,66.6,33.4,0.67,IAEA-PRIS/WNA-sample
PIPE-RUS-KURSK-II-UNIT-5,Kursk-5,Russia,Under Construction,Construction,Light Water Reactor,VVER,1255.0,2021.0,2030,0.0,Construction,84.6,22.4,0.85,IAEA-PRIS/WNA-sample
PIPE-RUS-KURSK-II-UNIT-5B,Kursk-5b,Russia,Under Construction,Construction,Light Water Reactor,VVER,1255.0,2021.0,2030,0.0,Construction,84.6,22.4,0.85,IAEA-PRIS/WNA-sample
PIPE-RUS-KURSK-II-UNIT-6,Kursk-6,Russia,Under Construction,Construction,Light Water Reactor,VVER,1255.0,2022.0,2030,0.0,Construction,84.6,22.4,0.85,IAEA-PRIS/WNA-sample
PIPE-SLO-MOCHOVCE-UNIT-4,Mochovce-4,Slovakia,Under Construction,Construction,Light Water Reactor,VVER,471.0,1987.0,2030,32.0,Construction,81.5,18.5,0.82,IAEA-PRIS/WNA-sample
PIPE-SOU-SHIN-KORI-UNIT-5,Shin Kori-5,South Korea,Under Construction,Construction,Light Water Reactor,APR1400,1340.0,2017.0,2030,2.0,Construction,68.9,38.1,0.69,IAEA-PRIS/WNA-sample
PIPE-SOU-SHIN-KORI-UNIT-6,Shin Kori-6,South Korea,Under Construction,Construction,Light Water Reactor,APR1400,1340.0,2018.0,2030,1.0,Construction,68.9,38.1,0.69,IAEA-PRIS/WNA-sample
PIPE-SOU-THYSPUNT-UNIT-1,Thyspunt,South Africa,Proposed,Proposed,Light Water Reactor,PWR,1000.0,,2042,,Proposed,59.3,48.7,0.59,IAEA-PRIS/WNA-sample
PIPE-TUR-AKKUYU-UNIT-1,Akkuyu-1,Turkey,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2018.0,2030,1.0,Construction,71.9,28.1,0.72,IAEA-PRIS/WNA-sample
PIPE-TUR-AKKUYU-UNIT-2,Akkuyu-2,Turkey,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2020.0,2030,0.0,Construction,71.9,28.1,0.72,IAEA-PRIS/WNA-sample
PIPE-TUR-AKKUYU-UNIT-3,Akkuyu-3,Turkey,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2021.0,2030,0.0,Construction,71.9,28.1,0.72,IAEA-PRIS/WNA-sample
PIPE-TUR-AKKUYU-UNIT-4,Akkuyu-4,Turkey,Under Construction,Construction,Light Water Reactor,VVER,1114.0,2022.0,2030,0.0,Construction,71.9,28.1,0.72,IAEA-PRIS/WNA-sample
PIPE-UAE-BARAKAH-UNIT-4,Barakah-4,UAE,Under Construction,Construction,Light Water Reactor,APR1400,1345.0,2015.0,2030,4.0,Construction,56.5,50.5,0.56,IAEA-PRIS/WNA-sample
PIPE-UNI-CARBON-FREE-UNIT-1,CP-1,United States,Proposed,Proposed,Small Modular Reactor,SMR-LWR,300.0,,2042,,Proposed,51.3,56.7,0.51,IAEA-PRIS/WNA-sample
PIPE-UNI-HINKLEY-POINT-C-UNIT-1,Hinkley Point C-1,United Kingdom,Under Construction,Construction,Light Water Reactor,EPR,1630.0,2018.0,2030,1.0,Construction,89.2,17.8,0.89,IAEA-PRIS/WNA-sample
PIPE-UNI-HINKLEY-POINT-C-UNIT-2,Hinkley Point C-2,United Kingdom,Under Construction,Construction,Light Water Reactor,EPR,1630.0,2019.0,2030,0.0,Construction,89.2,17.8,0.89,IAEA-PRIS/WNA-sample
PIPE-UNI-KEMMERER-UNIT-1,Natrium-1,United States,Proposed,Proposed,Fast Reactor,SFR,345.0,,2042,,Proposed,51.1,56.9,0.51,IAEA-PRIS/WNA-sample
PIPE-UNI-WYLFA-NEWYDD-UNIT-1,Wylfa Newydd-1,United Kingdom,Proposed,Proposed,Light Water Reactor,BWR,1380.0,,2042,,Proposed,66.9,48.1,0.67,IAEA-PRIS/WNA-sample
