reactor_id,reactor_name,unit_name,plant_name,country,region,latitude,longitude,status,status_group,reactor_type,reactor_type_standardized,technology_family,generation_category,size_category,capacity_mwe,gross_capacity_mwe,net_capacity_mwe,construction_start_date,grid_connection_date,commercial_operation_date,shutdown_date,expected_start_year,age_years,owner,operator,vendor,source_name,source_confidence,source_last_updated,smr_flag,geniv_flag,molten_salt_flag,thorium_potential_flag,fast_reactor_flag
BEL-DOEL-UNIT-4,Doel-4,Unit 4,Doel,Belgium,Other,51.325,4.259,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1037.0,1084.0,1037.0,1978-12-01,1985-04-09,1985-07-01,,1985.0,41.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-TIHANGE-UNIT-1,Tihange-1,Unit 1,Tihange,Belgium,Other,50.534,5.271,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,962.0,1009.0,962.0,1975-06-01,1975-10-07,1975-10-07,,1975.0,51.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-TIHANGE-UNIT-2,Tihange-2,Unit 2,Tihange,Belgium,Other,50.534,5.271,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1008.0,1055.0,1008.0,1976-04-01,1982-10-13,1983-06-01,,1983.0,43.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BEL-TIHANGE-UNIT-3,Tihange-3,Unit 3,Tihange,Belgium,Other,50.534,5.271,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1046.0,1089.0,1046.0,1978-11-01,1985-06-28,1985-09-01,,1985.0,41.0,Electrabel,Engie,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BRA-ANGRA-UNIT-1,Angra-1,Unit 1,Angra,Brazil,Latin America,-23.008,-44.458,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Mid-size,640.0,657.0,640.0,1971-05-01,1982-03-01,1985-04-22,,1985.0,41.0,Eletronuclear,Eletronuclear,Westinghouse,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BRA-ANGRA-UNIT-2,Angra-2,Unit 2,Angra,Brazil,Latin America,-23.008,-44.458,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1350.0,1400.0,1350.0,1976-01-01,2000-07-21,2001-02-01,,2001.0,25.0,Eletronuclear,Eletronuclear,Siemens/KWU,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BRA-ANGRA-UNIT-3,Angra-3,Unit 3,Angra,Brazil,Latin America,-23.008,-44.458,Planned,Planned,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1405.0,1450.0,1405.0,2010-06-01,,,,,,Eletronuclear,Eletronuclear,Siemens/Areva,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BUL-BELENE-UNIT-1,Belene-1,Unit 1,Belene,Bulgaria,Other,43.626,25.169,Proposed,Proposed,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1060.0,1000.0,,,,,,,BEH,BEH,Rosatom,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BUL-KOZLODUY-UNIT-5,Kozloduy-5,Unit 5,Kozloduy,Bulgaria,Other,43.797,23.786,Operating,Operating,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1000.0,,1980-07-01,1988-11-23,1989-12-24,,1989.0,37.0,Kozloduy NPP,Kozloduy NPP,Rosatom,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
BUL-KOZLODUY-UNIT-6,Kozloduy-6,Unit 6,Kozloduy,Bulgaria,Other,43.797,23.786,Operating,Operating,VVER,VVER,Light Water Reactor,Gen III/III+ or modern LWR,Large,953.0,1000.0,953.0,1982-04-01,1993-08-30,1993-12-30,,1993.0,33.0,Kozloduy NPP,Kozloduy NPP,Rosatom,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-3,Bruce-3,Unit 3,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,769.0,817.0,769.0,1967-06-01,1977-02-01,1978-02-01,,1978.0,48.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-4,Bruce-4,Unit 4,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,769.0,817.0,769.0,1967-06-01,1978-12-15,1979-01-18,,1979.0,47.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-5,Bruce-5,Unit 5,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,817.0,872.0,817.0,1978-06-01,1984-12-29,1985-03-01,,1985.0,41.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-6,Bruce-6,Unit 6,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,817.0,872.0,817.0,1978-09-01,1984-09-14,1984-09-14,,1984.0,42.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-7,Bruce-7,Unit 7,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,817.0,872.0,817.0,1979-05-01,1986-04-10,1986-04-10,,1986.0,40.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-BRUCE-UNIT-8,Bruce-8,Unit 8,Bruce,Canada,North America,44.326,-81.593,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,817.0,872.0,817.0,1979-08-01,1987-05-22,1987-05-22,,1987.0,39.0,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-DARLINGTON-BWRX-300,Darlington-SMR-1,BWRX-300,Darlington,Canada,North America,43.872,-78.719,Planned,Planned,SMR-LWR,SMR-LWR,Small Modular Reactor,Advanced/Gen IV candidate,SMR,300.0,300.0,300.0,,,,,,,OPG,OPG,GE Hitachi,IAEA-PRIS/WNA-sample,0.55,2026-05-17,True,False,False,False,False
CAN-DARLINGTON-UNIT-1,Darlington-1,Unit 1,Darlington,Canada,North America,43.872,-78.719,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,878.0,935.0,878.0,1981-04-01,1990-11-14,1992-11-14,,1992.0,34.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-DARLINGTON-UNIT-2,Darlington-2,Unit 2,Darlington,Canada,North America,43.872,-78.719,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,878.0,935.0,878.0,1981-09-01,1990-01-09,1990-10-09,,1990.0,36.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-DARLINGTON-UNIT-3,Darlington-3,Unit 3,Darlington,Canada,North America,43.872,-78.719,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,878.0,935.0,878.0,1984-09-01,1992-02-01,1993-02-14,,1993.0,33.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-DARLINGTON-UNIT-4,Darlington-4,Unit 4,Darlington,Canada,North America,43.872,-78.719,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Large,878.0,935.0,878.0,1985-07-01,1993-06-14,1993-06-14,,1993.0,33.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-PICKERING-UNIT-5,Pickering-5,Unit 5,Pickering,Canada,North America,43.81,-79.072,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,516.0,540.0,516.0,1974-11-01,1982-05-10,1983-05-10,,1983.0,43.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-PICKERING-UNIT-6,Pickering-6,Unit 6,Pickering,Canada,North America,43.81,-79.072,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,516.0,540.0,516.0,1975-10-01,1983-10-21,1984-02-01,,1984.0,42.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-PICKERING-UNIT-7,Pickering-7,Unit 7,Pickering,Canada,North America,43.81,-79.072,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,516.0,540.0,516.0,1976-01-01,1985-09-13,1986-01-13,,1986.0,40.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CAN-PICKERING-UNIT-8,Pickering-8,Unit 8,Pickering,Canada,North America,43.81,-79.072,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,516.0,540.0,516.0,1976-09-01,1986-02-09,1986-02-09,,1986.0,40.0,OPG,OPG,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-CHANGJIANG-UNIT-1,Changjiang-1,Unit 1,Changjiang,China,Asia,19.49,109.141,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2010-04-25,2015-11-07,2015-11-07,,2015.0,11.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-CHANGJIANG-UNIT-2,Changjiang-2,Unit 2,Changjiang,China,Asia,19.49,109.141,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2010-11-21,2016-08-26,2016-08-26,,2016.0,10.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-CHANGJIANG-UNIT-3,Changjiang-3,Unit 3,Changjiang,China,Asia,19.49,109.141,Under Construction,Construction,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2021-07-28,,,,,,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-DAYA-BAY-UNIT-1,Daya Bay-1,Unit 1,Daya Bay,China,Asia,22.598,114.538,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,944.0,984.0,944.0,1987-08-07,1993-08-31,1994-02-01,,1994.0,32.0,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-DAYA-BAY-UNIT-2,Daya Bay-2,Unit 2,Daya Bay,China,Asia,22.598,114.538,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,944.0,984.0,944.0,1988-04-07,1994-02-07,1994-05-06,,1994.0,32.0,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FANGCHENGGANG-UNIT-1,Fangchenggang-1,Unit 1,Fangchenggang,China,Asia,21.483,108.14,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1086.0,1000.0,2010-07-30,2015-10-26,2016-01-01,,2016.0,10.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FANGCHENGGANG-UNIT-2,Fangchenggang-2,Unit 2,Fangchenggang,China,Asia,21.483,108.14,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1086.0,1000.0,2010-12-23,2016-07-16,2016-10-01,,2016.0,10.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FANGCHENGGANG-UNIT-3,Fangchenggang-3,Unit 3,Fangchenggang,China,Asia,21.483,108.14,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2015-12-24,2022-03-24,2022-06-10,,2022.0,4.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FANGCHENGGANG-UNIT-4,Fangchenggang-4,Unit 4,Fangchenggang,China,Asia,21.483,108.14,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2016-12-23,2022-10-25,2023-03-25,,2023.0,3.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-1,Fuqing-1,Unit 1,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2008-11-21,2013-11-22,2014-11-22,,2014.0,12.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-2,Fuqing-2,Unit 2,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2009-06-29,2015-10-16,2015-10-16,,2015.0,11.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-3,Fuqing-3,Unit 3,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2010-12-31,2016-06-10,2016-10-10,,2016.0,10.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-4,Fuqing-4,Unit 4,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2012-11-17,2017-09-17,2017-09-17,,2017.0,9.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-5,Fuqing-5,Unit 5,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2015-05-07,2021-01-30,2021-09-30,,2021.0,5.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-FUQING-UNIT-6,Fuqing-6,Unit 6,Fuqing,China,Asia,25.432,119.462,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2015-12-22,2022-01-11,2022-03-25,,2022.0,4.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HAIYANG-UNIT-1,Haiyang-1,Unit 1,Haiyang,China,Asia,36.776,121.461,Operating,Operating,PWR,AP1000,Light Water Reactor,Gen III/III+ or modern LWR,Large,1157.0,1250.0,1157.0,2009-09-26,2018-10-22,2018-11-22,,2018.0,8.0,SPNC,SPNC,Westinghouse,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HAIYANG-UNIT-2,Haiyang-2,Unit 2,Haiyang,China,Asia,36.776,121.461,Operating,Operating,PWR,AP1000,Light Water Reactor,Gen III/III+ or modern LWR,Large,1157.0,1250.0,1157.0,2010-06-20,2019-01-09,2019-05-09,,2019.0,7.0,SPNC,SPNC,Westinghouse,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HAIYANG-UNIT-3,Haiyang-3,Unit 3,Haiyang,China,Asia,36.776,121.461,Under Construction,Construction,PWR,AP1000,Light Water Reactor,Gen III/III+ or modern LWR,Large,1157.0,1250.0,1157.0,2022-01-01,,,,,,SPNC,SPNC,Westinghouse,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-1,Hongyanhe-1,Unit 1,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2007-08-18,2013-02-17,2013-06-06,,2013.0,13.0,CGNPC/CNOOC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-2,Hongyanhe-2,Unit 2,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2008-03-28,2014-05-13,2014-05-13,,2014.0,12.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-3,Hongyanhe-3,Unit 3,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2009-03-07,2015-08-16,2015-08-16,,2015.0,11.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-4,Hongyanhe-4,Unit 4,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2009-08-15,2016-09-25,2016-09-25,,2016.0,10.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-5,Hongyanhe-5,Unit 5,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2015-03-29,2021-07-24,2021-09-08,,2021.0,5.0,CGNPC/CNOOC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-HONGYANHE-UNIT-6,Hongyanhe-6,Unit 6,Hongyanhe,China,Asia,39.794,121.474,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1061.0,1119.0,1061.0,2015-07-24,2022-08-28,2022-08-28,,2022.0,4.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-LIANJIANG-UNIT-1,Lianjiang-1,Unit 1,Lianjiang,China,Asia,20.55,110.143,Under Construction,Construction,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2023-02-23,,,,,,CGN,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-LING-AO-UNIT-1,Ling Ao-1,Unit 1,Ling Ao,China,Asia,22.598,114.538,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,990.0,1036.0,990.0,1997-05-15,2002-05-28,2002-05-28,,2002.0,24.0,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-LING-AO-UNIT-2,Ling Ao-2,Unit 2,Ling Ao,China,Asia,22.598,114.538,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,990.0,1036.0,990.0,1997-11-01,2003-01-08,2003-01-08,,2003.0,23.0,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-LUFENG-UNIT-5,Lufeng-5,Unit 5,Lufeng,China,Asia,22.639,115.699,Under Construction,Construction,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1080.0,1000.0,2022-07-08,,,,,,CGN,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-NINGDE-UNIT-1,Ningde-1,Unit 1,Ningde,China,Asia,27.06,120.21,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2008-02-18,2012-12-28,2013-04-15,,2013.0,13.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-NINGDE-UNIT-2,Ningde-2,Unit 2,Ningde,China,Asia,27.06,120.21,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2008-11-12,2014-01-04,2014-05-04,,2014.0,12.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-NINGDE-UNIT-3,Ningde-3,Unit 3,Ningde,China,Asia,27.06,120.21,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2010-01-08,2015-06-10,2015-06-10,,2015.0,11.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-NINGDE-UNIT-4,Ningde-4,Unit 4,Ningde,China,Asia,27.06,120.21,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Large,1000.0,1089.0,1000.0,2012-09-29,2016-07-21,2016-07-21,,2016.0,10.0,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-QINSHAN-II-UNIT-1,Qinshan-2-1,Unit 1,Qinshan II,China,Asia,30.437,120.954,Operating,Operating,PWR,PWR,Light Water Reactor,Gen III/III+ or modern LWR,Mid-size,650.0,688.0,650.0,1996-06-02,2002-02-06,2002-04-15,,2002.0,24.0,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-QINSHAN-III-UNIT-1,Qinshan-3-1,Unit 1,Qinshan III,China,Asia,30.437,120.954,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,677.0,728.0,677.0,1998-06-08,2002-11-19,2003-07-24,,2003.0,23.0,CNNC,CNNC,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
CHI-QINSHAN-III-UNIT-2,Qinshan-3-2,Unit 2,Qinshan III,China,Asia,30.437,120.954,Operating,Operating,PHWR,PHWR,Heavy Water Reactor,Gen II/legacy or unspecified,Mid-size,677.0,728.0,677.0,1998-09-25,2004-06-12,2004-07-01,,2004.0,22.0,CNNC,CNNC,AECL,IAEA-PRIS/WNA-sample,0.55,2026-05-17,False,False,False,False,False
