reactor_name,plant_name,unit_name,country,status,reactor_type,design_name,net_capacity_mwe,gross_capacity_mwe,construction_start_date,grid_connection_date,commercial_operation_date,shutdown_date,latitude,longitude,owner,operator,vendor,source_name
Kozloduy-6,Kozloduy,Unit 6,Bulgaria,operating,VVER,VVER-1000,953,1000,1982-04-01,1993-08-30,1993-12-30,,43.797,23.786,Kozloduy NPP,Kozloduy NPP,Rosatom,IAEA-PRIS/WNA-sample
Belene-1,Belene,Unit 1,Bulgaria,proposed,VVER,VVER-1000,1000,1060,,,,,43.626,25.169,BEH,BEH,Rosatom,IAEA-PRIS/WNA-sample
Bruce-3,Bruce,Unit 3,Canada,operating,PHWR,CANDU-6,769,817,1967-06-01,1977-02-01,1978-02-01,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Bruce-4,Bruce,Unit 4,Canada,operating,PHWR,CANDU-6,769,817,1967-06-01,1978-12-15,1979-01-18,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Bruce-5,Bruce,Unit 5,Canada,operating,PHWR,CANDU-6,817,872,1978-06-01,1984-12-29,1985-03-01,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Bruce-6,Bruce,Unit 6,Canada,operating,PHWR,CANDU-6,817,872,1978-09-01,1984-09-14,1984-09-14,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Bruce-7,Bruce,Unit 7,Canada,operating,PHWR,CANDU-6,817,872,1979-05-01,1986-04-10,1986-04-10,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Bruce-8,Bruce,Unit 8,Canada,operating,PHWR,CANDU-6,817,872,1979-08-01,1987-05-22,1987-05-22,,44.326,-81.593,Bruce Power,Bruce Power,AECL,IAEA-PRIS/WNA-sample
Darlington-1,Darlington,Unit 1,Canada,operating,PHWR,CANDU-6,878,935,1981-04-01,1990-11-14,1992-11-14,,43.872,-78.719,OPG,OPG,AECL,IAEA-PRIS/WNA-sample
Darlington-2,Darlington,Unit 2,Canada,operating,PHWR,CANDU-6,878,935,1981-09-01,1990-01-09,1990-10-09,,43.872,-78.719,OPG,OPG,AECL,IAEA-PRIS/WNA-sample
Darlington-3,Darlington,Unit 3,Canada,operating,PHWR,CANDU-6,878,935,1984-09-01,1992-02-01,1993-02-14,,43.872,-78.719,OPG,OPG,AECL,IAEA-PRIS/WNA-sample
Darlington-4,Darlington,Unit 4,Canada,operating,PHWR,CANDU-6,878,935,1985-07-01,1993-06-14,1993-06-14,,43.872,-78.719,OPG,OPG,AECL,IAEA-PRIS/WNA-sample
Darlington-SMR-1,Darlington,BWRX-300,Canada,planned,SMR-LWR,BWRX-300,300,300,,,,,43.872,-78.719,OPG,OPG,GE Hitachi,IAEA-PRIS/WNA-sample
Daya Bay-1,Daya Bay,Unit 1,China,operating,PWR,M310,944,984,1987-08-07,1993-08-31,1994-02-01,,22.598,114.538,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample
Daya Bay-2,Daya Bay,Unit 2,China,operating,PWR,M310,944,984,1988-04-07,1994-02-07,1994-05-06,,22.598,114.538,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample
Ling Ao-1,Ling Ao,Unit 1,China,operating,PWR,CPR-1000,990,1036,1997-05-15,2002-05-28,2002-05-28,,22.598,114.538,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample
Ling Ao-2,Ling Ao,Unit 2,China,operating,PWR,CPR-1000,990,1036,1997-11-01,2003-01-08,2003-01-08,,22.598,114.538,CGNPC,CGN,Framatome,IAEA-PRIS/WNA-sample
Qinshan-1,Qinshan,Unit 1,China,operating,PWR,CNP-300,300,320,1985-03-20,1991-12-15,1994-04-01,,30.437,120.954,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample
Qinshan-2-1,Qinshan II,Unit 1,China,operating,PWR,CNP-600,650,688,1996-06-02,2002-02-06,2002-04-15,,30.437,120.954,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample
Sanmen-1,Sanmen,Unit 1,China,operating,PWR,AP1000,1157,1250,2009-04-19,2018-06-30,2018-09-21,,29.101,121.641,CNNC,CNNC,Westinghouse,IAEA-PRIS/WNA-sample
Sanmen-2,Sanmen,Unit 2,China,operating,PWR,AP1000,1157,1250,2009-12-15,2018-08-17,2018-11-05,,29.101,121.641,CNNC,CNNC,Westinghouse,IAEA-PRIS/WNA-sample
Haiyang-1,Haiyang,Unit 1,China,operating,PWR,AP1000,1157,1250,2009-09-26,2018-10-22,2018-11-22,,36.776,121.461,SPNC,SPNC,Westinghouse,IAEA-PRIS/WNA-sample
Haiyang-2,Haiyang,Unit 2,China,operating,PWR,AP1000,1157,1250,2010-06-20,2019-01-09,2019-05-09,,36.776,121.461,SPNC,SPNC,Westinghouse,IAEA-PRIS/WNA-sample
Taishan-1,Taishan,Unit 1,China,operating,PWR,EPR,1660,1750,2009-10-28,2018-06-29,2018-12-13,,21.918,112.981,TNPJVC,CGN,Framatome,IAEA-PRIS/WNA-sample
Taishan-2,Taishan,Unit 2,China,operating,PWR,EPR,1660,1750,2010-04-15,2019-06-23,2019-09-07,,21.918,112.981,TNPJVC,CGN,Framatome,IAEA-PRIS/WNA-sample
Tianwan-1,Tianwan,Unit 1,China,operating,VVER,VVER-1000,1060,1126,2000-10-20,2006-05-12,2007-05-17,,34.692,119.455,JNPC,JNPC,Rosatom,IAEA-PRIS/WNA-sample
Tianwan-2,Tianwan,Unit 2,China,operating,VVER,VVER-1000,1060,1126,2000-10-20,2007-08-16,2007-08-16,,34.692,119.455,JNPC,JNPC,Rosatom,IAEA-PRIS/WNA-sample
Tianwan-3,Tianwan,Unit 3,China,operating,VVER,VVER-1000,1060,1126,2012-12-27,2018-02-15,2018-02-15,,34.692,119.455,JNPC,JNPC,Rosatom,IAEA-PRIS/WNA-sample
Tianwan-4,Tianwan,Unit 4,China,operating,VVER,VVER-1000,1060,1126,2013-09-27,2018-12-22,2018-12-22,,34.692,119.455,JNPC,JNPC,Rosatom,IAEA-PRIS/WNA-sample
Yangjiang-1,Yangjiang,Unit 1,China,operating,PWR,CPR-1000,1086,1140,2008-12-16,2013-12-27,2014-03-25,,21.705,111.606,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample
Yangjiang-5,Yangjiang,Unit 5,China,operating,PWR,ACPR-1000,1086,1140,2013-09-18,2018-07-21,2018-07-21,,21.705,111.606,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample
Hongyanhe-1,Hongyanhe,Unit 1,China,operating,PWR,CPR-1000,1061,1119,2007-08-18,2013-02-17,2013-06-06,,39.794,121.474,CGNPC/CNOOC,CGN,CGN,IAEA-PRIS/WNA-sample
Hongyanhe-5,Hongyanhe,Unit 5,China,operating,PWR,ACPR-1000,1061,1119,2015-03-29,2021-07-24,2021-09-08,,39.794,121.474,CGNPC/CNOOC,CGN,CGN,IAEA-PRIS/WNA-sample
Fangchenggang-3,Fangchenggang,Unit 3,China,operating,PWR,HPR-1000,1000,1080,2015-12-24,2022-03-24,2022-06-10,,21.483,108.14,CGNPC,CGN,CGN,IAEA-PRIS/WNA-sample
Zhangzhou-1,Zhangzhou,Unit 1,China,under construction,PWR,HPR-1000,1126,1212,2019-10-16,,,,24.1,117.855,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample
Zhangzhou-2,Zhangzhou,Unit 2,China,under construction,PWR,HPR-1000,1126,1212,2020-09-04,,,,24.1,117.855,CNNC,CNNC,CNNC,IAEA-PRIS/WNA-sample
Tianwan-7,Tianwan,Unit 7,China,under construction,VVER,VVER-1200,1200,1250,2021-05-19,,,,34.692,119.455,JNPC,JNPC,Rosatom,IAEA-PRIS/WNA-sample
Xudabao-3,Xudabao,Unit 3,China,under construction,VVER,VVER-1200,1200,1250,2021-07-19,,,,40.588,120.285,CGNPC,CGN,Rosatom,IAEA-PRIS/WNA-sample
Sanmen-3,Sanmen,Unit 3,China,under construction,PWR,AP1000,1157,1250,2022-07-21,,,,29.101,121.641,CNNC,CNNC,Westinghouse,IAEA-PRIS/WNA-sample
Dukovany-1,Dukovany,Unit 1,Czech Republic,operating,VVER,VVER-440,440,500,1974-01-01,1985-03-22,1985-05-03,,49.088,16.147,CEZ,CEZ,Rosatom,IAEA-PRIS/WNA-sample
Dukovany-3,Dukovany,Unit 3,Czech Republic,operating,VVER,VVER-440,440,500,1979-03-01,1986-12-17,1987-01-01,,49.088,16.147,CEZ,CEZ,Rosatom,IAEA-PRIS/WNA-sample
Temelin-1,Temelin,Unit 1,Czech Republic,operating,VVER,VVER-1000,1000,1078,1987-11-01,2002-06-10,2002-12-10,,49.071,14.374,CEZ,CEZ,Rosatom,IAEA-PRIS/WNA-sample
Temelin-2,Temelin,Unit 2,Czech Republic,operating,VVER,VVER-1000,1000,1078,1987-11-01,2002-12-18,2003-04-18,,49.071,14.374,CEZ,CEZ,Rosatom,IAEA-PRIS/WNA-sample
El Dabaa-1,El Dabaa,Unit 1,Egypt,under construction,VVER,VVER-1200,1114,1200,2022-07-20,,,,31.041,28.497,NPPA,NPPA,Rosatom,IAEA-PRIS/WNA-sample
El Dabaa-2,El Dabaa,Unit 2,Egypt,under construction,VVER,VVER-1200,1114,1200,2022-11-19,,,,31.041,28.497,NPPA,NPPA,Rosatom,IAEA-PRIS/WNA-sample
El Dabaa-3,El Dabaa,Unit 3,Egypt,planned,VVER,VVER-1200,1114,1200,,,,,31.041,28.497,NPPA,NPPA,Rosatom,IAEA-PRIS/WNA-sample
Loviisa-1,Loviisa,Unit 1,Finland,operating,VVER,VVER-440,496,535,1971-05-01,1977-02-09,1977-05-09,,60.404,26.37,Fortum,Fortum,IVO/Rosatom,IAEA-PRIS/WNA-sample
Loviisa-2,Loviisa,Unit 2,Finland,operating,VVER,VVER-440,496,535,1972-08-01,1980-01-05,1981-01-05,,60.404,26.37,Fortum,Fortum,IVO/Rosatom,IAEA-PRIS/WNA-sample
Olkiluoto-1,Olkiluoto,Unit 1,Finland,operating,BWR,BWR,880,910,1976-02-01,1978-09-02,1979-10-02,,61.235,21.445,TVO,TVO,ABB Atom,IAEA-PRIS/WNA-sample
Olkiluoto-2,Olkiluoto,Unit 2,Finland,operating,BWR,BWR,890,920,1975-11-01,1980-02-10,1982-07-10,,61.235,21.445,TVO,TVO,ABB Atom,IAEA-PRIS/WNA-sample
Olkiluoto-3,Olkiluoto,Unit 3,Finland,operating,PWR,EPR,1600,1720,2005-08-12,2022-03-12,2023-04-16,,61.235,21.445,TVO,TVO,Framatome,IAEA-PRIS/WNA-sample
Civaux-1,Civaux,Unit 1,France,operating,PWR,N4,1495,1561,1988-10-15,1997-12-24,2002-01-24,,46.457,0.652,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Civaux-2,Civaux,Unit 2,France,operating,PWR,N4,1495,1561,1991-04-01,1999-12-23,2002-04-23,,46.457,0.652,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Cattenom-1,Cattenom,Unit 1,France,operating,PWR,P4,1300,1362,1979-11-01,1986-11-13,1987-04-01,,49.402,6.22,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Paluel-1,Paluel,Unit 1,France,operating,PWR,P4,1330,1382,1977-08-15,1985-06-10,1985-12-01,,49.855,-0.634,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Flamanville-1,Flamanville,Unit 1,France,operating,PWR,P4,1330,1382,1979-12-01,1985-12-04,1986-12-04,,49.536,-1.882,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Flamanville-3,Flamanville,Unit 3,France,operating,PWR,EPR,1630,1750,2007-12-03,2024-12-21,2025-01-01,,49.536,-1.882,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Bugey-4,Bugey,Unit 4,France,operating,PWR,CP1,880,937,1974-06-01,1979-03-11,1979-07-11,,45.797,5.272,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Blayais-1,Blayais,Unit 1,France,operating,PWR,CP1,910,951,1977-01-01,1981-06-12,1981-12-12,,45.255,-0.691,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Gravelines-1,Gravelines,Unit 1,France,operating,PWR,CP1,910,951,1975-02-01,1980-03-13,1980-11-25,,51.015,2.136,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Tricastin-1,Tricastin,Unit 1,France,operating,PWR,CP1,915,955,1974-11-01,1980-05-31,1980-12-01,,44.33,4.732,EDF,EDF,Framatome,IAEA-PRIS/WNA-sample
Kakrapar-1,Kakrapar,Unit 1,India,operating,PHWR,PHWR-220,202,220,1984-12-01,1992-09-03,1993-05-06,,21.228,73.057,NPCIL,NPCIL,DAE,IAEA-PRIS/WNA-sample
Kakrapar-3,Kakrapar,Unit 3,India,operating,PHWR,PHWR-700,640,700,2010-11-22,2022-07-10,2023-06-01,,21.228,73.057,NPCIL,NPCIL,DAE,IAEA-PRIS/WNA-sample
Rajasthan-5,Rawatbhata,Unit 5,India,operating,PHWR,PHWR-220,202,220,2002-09-01,2009-12-04,2010-02-04,,24.874,75.583,NPCIL,NPCIL,NPCIL,IAEA-PRIS/WNA-sample
Rajasthan-7,Rawatbhata,Unit 7,India,under construction,PHWR,PHWR-700,640,700,2011-09-18,,,,24.874,75.583,NPCIL,NPCIL,NPCIL,IAEA-PRIS/WNA-sample
Kudankulam-1,Kudankulam,Unit 1,India,operating,VVER,VVER-1000,917,1000,2002-03-31,2013-10-22,2013-12-31,,8.169,77.713,NPCIL,NPCIL,Rosatom,IAEA-PRIS/WNA-sample
Kudankulam-2,Kudankulam,Unit 2,India,operating,VVER,VVER-1000,917,1000,2002-07-04,2016-08-29,2017-03-31,,8.169,77.713,NPCIL,NPCIL,Rosatom,IAEA-PRIS/WNA-sample
Kudankulam-3,Kudankulam,Unit 3,India,under construction,VVER,VVER-1000,917,1000,,,,,8.169,77.713,NPCIL,NPCIL,Rosatom,IAEA-PRIS/WNA-sample
PFBR,Kalpakkam,PFBR,India,under construction,SFR,PFBR,500,500,2004-10-23,,,,12.552,80.17,BHAVINI,BHAVINI,BHAVINI,IAEA-PRIS/WNA-sample
Mihama-3,Mihama,Unit 3,Japan,operating,PWR,PWR,826,896,1972-12-01,1976-02-25,1976-12-01,,35.704,135.962,KEPCO,KEPCO,Westinghouse,IAEA-PRIS/WNA-sample
Takahama-3,Takahama,Unit 3,Japan,operating,PWR,PWR,870,912,1981-01-01,1985-01-17,1985-01-17,,35.524,135.508,KEPCO,KEPCO,Westinghouse,IAEA-PRIS/WNA-sample
Takahama-4,Takahama,Unit 4,Japan,operating,PWR,PWR,870,912,1981-11-01,1985-06-05,1985-06-05,,35.524,135.508,KEPCO,KEPCO,Westinghouse,IAEA-PRIS/WNA-sample
Ikata-3,Ikata,Unit 3,Japan,operating,PWR,PWR,846,890,1985-09-16,1994-03-22,1994-12-15,,33.489,132.32,Shikoku,Shikoku,Mitsubishi,IAEA-PRIS/WNA-sample
Sendai-1,Sendai,Unit 1,Japan,operating,PWR,PWR,846,890,1979-11-01,1984-07-28,1984-07-28,,31.833,130.185,Kyushu,Kyushu,Mitsubishi,IAEA-PRIS/WNA-sample
Onagawa-2,Onagawa,Unit 2,Japan,operating,BWR,BWR,796,825,1989-08-03,1994-12-23,1995-07-28,,38.402,141.5,Tohoku,Tohoku,Toshiba,IAEA-PRIS/WNA-sample
Laguna Verde-1,Laguna Verde,Unit 1,Mexico,operating,BWR,BWR-5,680,750,1976-10-01,1988-07-29,1990-07-29,,19.72,-96.397,CFE,CFE,GE,IAEA-PRIS/WNA-sample
Laguna Verde-2,Laguna Verde,Unit 2,Mexico,operating,BWR,BWR-5,674,750,1977-06-01,1994-11-10,1995-04-10,,19.72,-96.397,CFE,CFE,GE,IAEA-PRIS/WNA-sample
Borssele-1,Borssele,Unit 1,Netherlands,operating,PWR,PWR,515,540,1969-07-01,1973-03-26,1973-10-26,,51.413,3.723,EPZ,EPZ,KWU,IAEA-PRIS/WNA-sample
Karachi-2,Karachi,Unit 2,Pakistan,operating,PWR,HPR-1000,1100,1161,2015-08-20,2021-03-21,2021-05-21,,25.014,66.784,PAEC,PAEC,CNNC,IAEA-PRIS/WNA-sample
Karachi-3,Karachi,Unit 3,Pakistan,operating,PWR,HPR-1000,1100,1161,2016-05-31,2022-03-21,2022-05-21,,25.014,66.784,PAEC,PAEC,CNNC,IAEA-PRIS/WNA-sample
Chashma-1,Chashma,Unit 1,Pakistan,operating,PWR,CNP-300,300,325,1993-08-01,1999-09-13,2000-09-01,,32.393,71.463,PAEC,PAEC,CNNC,IAEA-PRIS/WNA-sample
Chashma-2,Chashma,Unit 2,Pakistan,operating,PWR,CNP-300,300,325,1996-05-01,2011-03-18,2011-05-18,,32.393,71.463,PAEC,PAEC,CNNC,IAEA-PRIS/WNA-sample
Cernavoda-1,Cernavoda,Unit 1,Romania,operating,PHWR,CANDU-6,650,706,1982-07-01,1996-04-11,1996-12-02,,44.316,28.058,SNN,SNN,AECL,IAEA-PRIS/WNA-sample
Cernavoda-2,Cernavoda,Unit 2,Romania,operating,PHWR,CANDU-6,650,706,1983-07-01,2007-08-07,2007-11-07,,44.316,28.058,SNN,SNN,AECL,IAEA-PRIS/WNA-sample
Cernavoda-3,Cernavoda,Unit 3,Romania,planned,PHWR,CANDU-6,650,706,,,,,44.316,28.058,SNN,SNN,AECL,IAEA-PRIS/WNA-sample
Novovoronezh-6,Novovoronezh,Unit 6,Russia,operating,VVER,VVER-1200,1114,1200,2008-07-17,2016-12-05,2017-02-05,,51.288,39.218,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Novovoronezh-7,Novovoronezh,Unit 7,Russia,operating,VVER,VVER-1200,1114,1200,2008-07-17,2018-11-01,2019-02-01,,51.288,39.218,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Leningrad-5,Leningrad,Unit 5,Russia,operating,VVER,VVER-1200,1114,1200,2008-10-25,2018-10-09,2018-10-09,,59.856,29.076,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Leningrad-6,Leningrad,Unit 6,Russia,operating,VVER,VVER-1200,1114,1200,2010-04-22,2021-03-22,2021-10-22,,59.856,29.076,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Rostov-1,Rostov,Unit 1,Russia,operating,VVER,VVER-1000,1011,1070,1990-09-01,2001-03-26,2001-12-25,,47.573,42.267,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Rostov-3,Rostov,Unit 3,Russia,operating,VVER,VVER-1000,1011,1070,2009-09-15,2014-12-27,2015-09-17,,47.573,42.267,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Beloyarsk-4,Beloyarsk,Unit 4,Russia,operating,SFR,BN-800,789,880,2006-07-18,2015-12-10,2016-10-31,,56.842,61.322,Rosenergoatom,Rosatom,OKBM,IAEA-PRIS/WNA-sample
Kursk-5,Kursk II,Unit 5,Russia,under construction,VVER,VVER-TOI,1255,1339,2021-06-22,,,,51.667,35.61,Rosenergoatom,Rosatom,Rosatom,IAEA-PRIS/WNA-sample
Mochovce-1,Mochovce,Unit 1,Slovakia,operating,VVER,VVER-440,411,440,1983-10-01,1998-06-29,1999-10-29,,48.413,18.534,SE,SE,Rosatom,IAEA-PRIS/WNA-sample
Mochovce-2,Mochovce,Unit 2,Slovakia,operating,VVER,VVER-440,411,440,1985-01-01,2000-04-18,2000-04-18,,48.413,18.534,SE,SE,Rosatom,IAEA-PRIS/WNA-sample
Mochovce-3,Mochovce,Unit 3,Slovakia,operating,VVER,VVER-440,471,505,1987-01-01,2022-10-31,2023-01-31,,48.413,18.534,SE,SE,Rosatom,IAEA-PRIS/WNA-sample
Mochovce-4,Mochovce,Unit 4,Slovakia,under construction,VVER,VVER-440,471,505,1987-01-01,,,,48.413,18.534,SE,SE,Rosatom,IAEA-PRIS/WNA-sample
Bohunice-3,Bohunice,Unit 3,Slovakia,operating,VVER,VVER-440,408,440,1976-12-01,1984-11-28,1985-02-14,,48.493,17.671,SE,SE,Rosatom,IAEA-PRIS/WNA-sample
Koeberg-1,Koeberg,Unit 1,South Africa,operating,PWR,PWR-3loop,900,970,1976-07-01,1984-04-04,1984-07-21,,-33.659,18.432,Eskom,Eskom,Framatome,IAEA-PRIS/WNA-sample
Koeberg-2,Koeberg,Unit 2,South Africa,operating,PWR,PWR-3loop,900,970,1976-07-01,1985-07-09,1985-11-09,,-33.659,18.432,Eskom,Eskom,Framatome,IAEA-PRIS/WNA-sample
Kori-1,Kori,Unit 1,South Korea,shutdown,PWR,PWR,587,609,1972-01-18,1978-04-29,1978-07-29,2017-06-19,35.321,129.294,KHNP,KHNP,Westinghouse,IAEA-PRIS/WNA-sample
Kori-2,Kori,Unit 2,South Korea,operating,PWR,OPR-1000,640,650,1977-12-23,1983-04-09,1983-07-25,,35.321,129.294,KHNP,KHNP,Westinghouse,IAEA-PRIS/WNA-sample
Shin Kori-4,Shin Kori,Unit 4,South Korea,operating,PWR,APR1400,1340,1455,2009-08-19,2019-08-29,2019-08-29,,35.321,129.294,KHNP,KHNP,KHNP,IAEA-PRIS/WNA-sample
Hanbit-1,Hanbit,Unit 1,South Korea,operating,PWR,OPR-1000,950,1000,1981-06-01,1986-08-25,1986-08-25,,35.413,126.425,KHNP,KHNP,Westinghouse,IAEA-PRIS/WNA-sample
Hanul-1,Hanul,Unit 1,South Korea,operating,PWR,OPR-1000,950,1000,1983-01-26,1988-12-26,1988-12-26,,37.094,129.381,KHNP,KHNP,Westinghouse,IAEA-PRIS/WNA-sample
Shin Hanul-1,Shin Hanul,Unit 1,South Korea,operating,PWR,APR1400,1340,1455,2012-07-10,2022-06-09,2022-06-09,,37.094,129.381,KHNP,KHNP,KHNP,IAEA-PRIS/WNA-sample
Shin Hanul-2,Shin Hanul,Unit 2,South Korea,operating,PWR,APR1400,1340,1455,2012-09-28,2023-12-22,2023-12-22,,37.094,129.381,KHNP,KHNP,KHNP,IAEA-PRIS/WNA-sample
Wolsong-1,Wolsong,Unit 1,South Korea,shutdown,PHWR,CANDU-6,679,700,1977-10-01,1982-11-21,1983-04-22,2019-12-24,35.712,129.476,KHNP,KHNP,AECL,IAEA-PRIS/WNA-sample
Wolsong-2,Wolsong,Unit 2,South Korea,operating,PHWR,CANDU-6,700,728,1992-09-01,1997-01-01,1997-07-01,,35.712,129.476,KHNP,KHNP,AECL,IAEA-PRIS/WNA-sample
Almaraz-1,Almaraz,Unit 1,Spain,operating,PWR,PWR-3loop,1049,1100,1973-07-03,1981-09-01,1983-05-01,,39.806,-5.698,Iberdrola,Almaraz NPP,Westinghouse,IAEA-PRIS/WNA-sample
Almaraz-2,Almaraz,Unit 2,Spain,operating,PWR,PWR-3loop,1044,1100,1973-07-03,1983-06-01,1984-06-01,,39.806,-5.698,Iberdrola,Almaraz NPP,Westinghouse,IAEA-PRIS/WNA-sample
Vandellos-2,Vandellos,Unit 2,Spain,operating,PWR,PWR-3loop,1045,1100,1980-12-01,1987-09-01,1988-03-08,,40.922,0.882,Iberdrola,ANAV,Westinghouse,IAEA-PRIS/WNA-sample
Cofrentes,Cofrentes,Unit 1,Spain,operating,BWR,BWR-6,1064,1118,1975-08-14,1984-03-11,1985-03-11,,39.244,-1.068,Iberdrola,Iberdrola,GE,IAEA-PRIS/WNA-sample
Forsmark-1,Forsmark,Unit 1,Sweden,operating,BWR,BWR,984,1020,1973-06-01,1980-04-10,1984-12-10,,60.405,18.17,Vattenfall,Vattenfall,ASEA Atom,IAEA-PRIS/WNA-sample
Forsmark-3,Forsmark,Unit 3,Sweden,operating,BWR,BWR,1167,1200,1979-01-01,1985-08-18,1985-08-18,,60.405,18.17,Vattenfall,Vattenfall,ASEA Atom,IAEA-PRIS/WNA-sample
Ringhals-3,Ringhals,Unit 3,Sweden,operating,PWR,PWR,1063,1099,1972-09-01,1981-05-07,1981-09-07,,57.257,12.106,Vattenfall,Ringhals,Westinghouse,IAEA-PRIS/WNA-sample
Beznau-1,Beznau,Unit 1,Switzerland,operating,PWR,PWR,365,380,1965-09-01,1969-09-17,1969-12-09,,47.523,8.116,Axpo,Axpo,Westinghouse,IAEA-PRIS/WNA-sample
Leibstadt,Leibstadt,Unit 1,Switzerland,operating,BWR,BWR,1220,1285,1974-01-01,1984-09-28,1984-12-15,,47.603,8.181,KKL,KKL,GE,IAEA-PRIS/WNA-sample
Gosgen,Gosgen,Unit 1,Switzerland,operating,PWR,PWR,970,1020,1973-06-01,1979-09-12,1979-11-01,,47.367,7.961,KKG,KKG,KWU,IAEA-PRIS/WNA-sample
